"data.circle","data.time_span","data.color"
"bottom-left",3722.74146,"Blue"
"bottom-right",9528.82406,"Red"
"center",8183.41515,"Green"
"none",15318.424417,"white"
"top-left",4891.35559,"Yellow"
"top-right",12308.06034,"Orange"
"bottom-left",4392.00145,"Blue"
"bottom-right",8389.39805,"Green"
"center",11847.07102,"Red"
"none",16689.07353,"white"
"top-left",5180.67067,"Yellow"
"top-right",11193.79147,"Orange"
"bottom-left",4858.26163,"Blue"
"bottom-right",12772.540145,"Green"
"center",9031.47624,"Orange"
"none",15069.45422,"white"
"top-left",6433.13579,"Red"
"top-right",6158.66299,"Yellow"
"bottom-left",2496.723211,"Orange"
"bottom-right",5493.2429,"Green"
"center",17887.02669,"Blue"
"none",16558.42693,"white"
"top-left",6118.23606,"Yellow"
"top-right",5803.98209,"Red"
"bottom-left",4425.71,"Orange"
"bottom-right",4598.34679,"Blue"
"center",14315.81604,"Green"
"none",16503.64322,"white"
"top-left",3259.18189,"Yellow"
"top-right",7622.32587,"Red"
"bottom-left",3311.99523,"Orange"
"bottom-right",7879.4559,"Red"
"center",16555.85692,"Blue"
"none",12853.2446,"white"
"top-left",4025.55696,"Yellow"
"top-right",9910.26442,"Green"
"bottom-left",3676.2989,"Orange"
"bottom-right",7533.78728,"Blue"
"center",13631.41762,"Red"
"none",14957.92515,"white"
"top-left",5101.02056,"Yellow"
"top-right",6324.99475,"Green"
"bottom-left",1886.59818,"Orange"
"bottom-right",5593.94627,"Red"
"center",11770.82971,"Green"
"none",18143.5899964,"white"
"top-left",6316.59891,"Yellow"
"top-right",13840.6929,"Blue"
"bottom-left",2240.1011,"Orange"
"bottom-right",6760.10317,"Green"
"center",13140.74737,"Red"
"none",18376.1682954,"white"
"top-left",7112.931402,"Yellow"
"top-right",5851.68958,"Blue"
"bottom-left",6791.74529,"Red"
"bottom-right",7389.88459,"Blue"
"center",10571.65313,"Yellow"
"none",18644.8318,"white"
"top-left",4767.04885,"Orange"
"top-right",8904.5213,"Green"
"bottom-left",4679.33715,"Red"
"bottom-right",10659.47069,"Yellow"
"center",6921.99839,"Blue"
"none",16941.3311,"white"
"top-left",8837.68494,"Orange"
"top-right",6402.55576,"Green"
"bottom-left",2926.02939,"Red"
"bottom-right",5498.22248,"Green"
"center",15244.63773,"Yellow"
"none",20163.61446,"white"
"top-left",4058.52931,"Orange"
"top-right",6395.10605,"Blue"
"bottom-left",891.82969,"Red"
"bottom-right",6419.52805,"Yellow"
"center",11882.749681,"Green"
"none",18918.832003,"white"
"top-left",2714.22761,"Orange"
"top-right",14027.02377,"Blue"
"bottom-left",5079.27009,"Blue"
"bottom-right",1354.41598,"Orange"
"center",17987.01158,"Green"
"none",10081.84347,"white"
"top-left",13970.82619,"Red"
"top-right",6036.81977,"Yellow"
